Model,param_rf__n_estimators,param_rf__max_depth,mean_train_r2,std_train_r2,mean_validation_r2,std_validation_r2,mean_test_r2,mean_train_MSE,std_train_MSE,mean_validation_MSE,std_validation_MSE,mean_test_MSE
rf,100,5,0.2559,0.0276,0.0317,0.0249,0.0352,0.0029,0.0003,0.0038,0.0005,0.0064
rf,10,5,0.2562,0.0310,-0.0025,0.0607,0.0352,0.0029,0.0002,0.0039,0.0005,0.0064
